time,itr,avg,std,MSE,MAE,total_cost
1549059725.890011,0,-0.11342604526660369,1.6919798361559186,287566.1233703031,1.0976070173683605,nan
1549059750.776322,0,-0.09596745681775014,1.6896756686717502,286421.3618069393,1.0913222334686794,nan
1549059827.496979,3,-0.09229332840269801,1.6773280174601592,282194.73366244766,1.0791500081057763,nan
1549059852.091035,3,-0.0756593607379442,1.681840627271544,283431.2234408414,1.0833838393564146,nan
1549059934.932558,6,-0.08204232541650672,1.6758773662968565,281529.5890025836,1.0796397030590459,nan
1549059958.422642,6,-0.06553666631343907,1.656480070295479,274822.12779175944,1.0687488382228705,nan
1549060040.689184,9,-0.03827187973344398,1.6470005182428016,271407.54438703886,1.0642371051889217,nan
1549060060.171701,9,-0.04512249767868515,1.646980721104177,271458.1535485597,1.073991523770366,nan
1549060141.809341,12,-0.0225782588219585,1.6282180801615107,265160.3894336267,1.0866396646616028,nan
1549060160.590236,12,-0.014019346630178441,1.6282441578245523,265137.55795697233,1.0995154779862064,nan
1549060245.262773,15,0.01280802461881956,1.6112046469791768,259614.445994193,1.1191619396552868,nan
