time,itr,avg,std,MSE,MAE
1548798243.14897,0,-0.23179315516956578,0.5066134618613769,2.172696865658418,0.43684766064929176
1548798244.77961,0,-0.23582054048408216,0.5150875621773329,2.246485668167946,0.437004178111381
1548798296.627642,3,-0.1611403837340759,0.5367143830050339,2.198199865361077,0.4581832694732891
1548798298.23627,3,-0.1698841876558778,0.5308765373876767,2.174833746149588,0.4455451662242574
1548798350.772277,6,-0.08931567680410898,0.5568824635861849,2.2266675786095624,0.4906195188505324
1548798352.343311,6,-0.10653818694270012,0.5636399489315559,2.303282641160233,0.48887151273244855
1548798405.673762,9,-0.03621480224618845,0.5924361202303774,2.4660444791874694,0.5310488513526589
1548798407.255816,9,-0.05750719945542388,0.5953193907390987,2.503985784854243,0.5346975288272904
1548798461.861969,12,-0.0002815848852699143,0.6176914295648297,2.670799470135233,0.5698520492739864
1548798463.445211,12,-0.024855061381284984,0.6372256905370389,2.846720483296715,0.5827240111090044
1548798519.652089,15,0.016335355105601707,0.6799624799194258,3.2383107254722123,0.6279024665736251
1548798521.236406,15,0.010117386618553834,0.6832477255807679,3.268508712162971,0.631134392169085
